Nível;CD_MUN;Município;Cana-2016;Soja-2016;Cana-2017;Soja-2017;Cana-2018;Soja-2018;Cana-2019;Soja-2019;Cana-2020;Soja-2020
MU;3520301;Iguape (SP);0;0;0;0;0;0;0;0;0;0
MU;3520400;Ilhabela (SP);0;0;0;0;0;0;0;0;0;0
MU;3520442;Ilha Solteira (SP);86000;0;85086;2600;85000;2600;75000;2630;83987;3021
MU;3520509;Indaiatuba (SP);80000;2100;80000;2100;79000;2100;79000;2100;84000;2400
MU;3520608;Indiana (SP);69870;0;69870;0;69870;0;69870;0;75712;3705
MU;3520707;Indiaporã (SP);80000;2400;80000;2400;80000;2700;80000;1663;80000;3000
MU;3520806;Inúbia Paulista (SP);78000;1800;78000;3000;76000;3060;69000;1800;70000;2400
MU;3520905;Ipaussu (SP);75000;3000;75000;3300;72000;3000;80000;3000;79000;3050
MU;3521002;Iperó (SP);79944;0;79944;0;0;2278;79943;2278;79944;2278
MU;3521101;Ipeúna (SP);59850;0;59850;0;77000;0;77000;0;80000;0
MU;3521150;Ipiguá (SP);90000;0;89271;0;89271;0;80000;2700;90000;3000
MU;3521200;Iporanga (SP);50000;0;50000;0;20000;0;20000;0;40000;0
MU;3521309;Ipuã (SP);80000;2400;80000;3626;80000;3629;75000;2806;75000;2828
MU;3521408;Iracemápolis (SP);85000;2919;86659;2919;81694;3180;85500;3400;85667;3080
MU;3521507;Irapuã (SP);90000;2400;90000;3000;83367;3000;90000;1300;98000;3480
MU;3521606;Irapuru (SP);70000;0;70000;0;70000;0;70000;1800;70000;0
MU;3521705;Itaberá (SP);0;4000;0;4200;0;3915;0;3915;0;3941
MU;3521804;Itaí (SP);70000;3600;70000;4500;45000;3800;75000;3100;75000;3500
MU;3521903;Itajobi (SP);80000;0;80000;0;90000;0;76000;0;90000;0
MU;3522000;Itaju (SP);77000;3600;77000;3000;75000;3060;75000;3000;75000;3600
MU;3522109;Itanhaém (SP);0;0;0;0;0;0;0;0;0;0
MU;3522158;Itaoca (SP);60000;0;60000;0;60000;0;60000;0;60000;0
MU;3522208;Itapecerica da Serra (SP);0;0;0;0;0;0;0;0;0;0
MU;3522307;Itapetininga (SP);80000;3600;80000;3600;80000;3600;80000;3600;80000;4200
MU;3522406;Itapeva (SP);80000;4021;80000;4223;80000;4215;80000;3857;80000;3835
MU;3522505;Itapevi (SP);0;0;0;0;0;0;0;0;0;0
MU;3522604;Itapira (SP);66000;3300;50000;3000;52000;3622;60000;3276;60000;3300
MU;3522653;Itapirapuã Paulista (SP);60000;0;60000;0;60000;0;60000;0;60000;0
MU;3522703;Itápolis (SP);66000;1800;66000;2100;90000;2500;90000;4000;87000;3500
MU;3522802;Itaporanga (SP);0;3350;0;4000;70000;3630;0;3102;0;3687
MU;3522901;Itapuí (SP);85000;2623;85000;3261;75000;3576;80000;1804;75000;2701
MU;3523008;Itapura (SP);100000;3509;100000;3514;100000;3600;80000;3456;95000;3600
MU;3523107;Itaquaquecetuba (SP);0;0;0;0;0;0;0;0;0;0
MU;3523206;Itararé (SP);0;4000;0;3694;70000;3600;70000;3719;70000;4500
MU;3523305;Itariri (SP);0;0;0;0;0;0;0;0;0;0
MU;3523404;Itatiba (SP);50000;0;50000;3500;50000;3500;50000;3500;50000;3500
MU;3523503;Itatinga (SP);80000;3600;80000;4200;80000;4391;78511;4314;78511;4314
MU;3523602;Itirapina (SP);65000;2606;65000;2600;70000;2600;70000;2600;70000;2600
MU;3523701;Itirapuã (SP);100000;0;90000;3000;90000;3600;83750;3600;93333;3600
MU;3523800;Itobi (SP);80000;0;80000;0;80000;0;80556;3720;80000;3720
MU;3523909;Itu (SP);70000;0;80000;0;79000;2100;79000;2100;79000;2800
MU;3524006;Itupeva (SP);120000;0;60000;0;50000;0;50000;0;50000;0
MU;3524105;Ituverava (SP);85000;3000;85000;3734;85000;3741;85000;3743;85000;3743
MU;3524204;Jaborandi (SP);80000;3000;75000;3000;78000;3300;76000;3063;76333;3631
MU;3524303;Jaboticabal (SP);85000;3000;85000;3000;85000;3000;85000;3000;90000;3600
MU;3524402;Jacareí (SP);0;0;0;0;50000;0;50000;0;50000;0
MU;3524501;Jaci (SP);110000;2700;100000;3600;110000;2400;90000;2400;90000;2400
MU;3524600;Jacupiranga (SP);0;0;0;0;20000;0;30000;0;30000;0
MU;3524709;Jaguariúna (SP);80000;0;80000;3600;80000;3600;80000;3600;80000;3600
MU;3524808;Jales (SP);80000;0;80000;0;90000;0;90000;0;90000;0
MU;3524907;Jambeiro (SP);60000;0;0;0;0;0;0;0;0;0
MU;3525003;Jandira (SP);0;0;0;0;0;0;0;0;0;0
MU;3525102;Jardinópolis (SP);80000;3600;80000;3600;80000;3600;80000;3600;80000;3600
MU;3525201;Jarinu (SP);65000;0;65000;0;65000;0;65000;0;65000;0
MU;3525300;Jaú (SP);80009;2922;78010;3155;80000;3140;80000;2315;75000;3852
MU;3525409;Jeriquara (SP);75000;3300;80000;3400;80000;3600;80000;3340;80000;3000
MU;3525508;Joanópolis (SP);0;0;0;0;0;0;0;0;0;0
MU;3525607;João Ramalho (SP);68454;2880;70992;2450;65871;2450;65871;2450;67331;2357
MU;3525706;José Bonifácio (SP);80000;3000;70000;3900;70000;3925;70000;1500;80000;3600
MU;3525805;Júlio Mesquita (SP);60000;0;70000;0;70000;0;0;3300;0;0
MU;3525854;Jumirim (SP);100000;3000;100000;3000;100000;3000;75000;3000;100000;3000
MU;3525904;Jundiaí (SP);0;0;0;0;0;0;0;0;0;0
MU;3526001;Junqueirópolis (SP);65000;0;70000;0;70000;0;65000;2105;65000;3000
MU;3526100;Juquiá (SP);0;0;0;0;0;0;0;0;0;0
MU;3526209;Juquitiba (SP);0;0;0;0;0;0;0;0;0;0
MU;3526308;Lagoinha (SP);60000;0;88000;0;49000;0;25000;0;0;0
MU;3526407;Laranjal Paulista (SP);100000;2520;100000;2520;100000;2458;73000;2000;73000;2000
MU;3526506;Lavínia (SP);80000;2700;80000;2700;80000;3420;80000;1679;80000;2600
MU;3526605;Lavrinhas (SP);0;0;0;0;0;0;0;0;0;0
MU;3526704;Leme (SP);90015;1800;90015;1800;90015;1800;92700;3600;92700;3600
MU;3526803;Lençóis Paulista (SP);80000;2400;85940;3000;76000;3500;76000;3500;70000;4200
MU;3526902;Limeira (SP);80000;2700;80000;2700;80576;2780;79200;2849;79067;2700
MU;3527009;Lindóia (SP);100000;3500;100000;3500;100000;0;100000;0;100000;0
MU;3527108;Lins (SP);83000;2879;76000;3000;82000;3299;75000;2400;70000;2819
MU;3527207;Lorena (SP);0;2100;0;2100;0;2100;0;3000;0;3000
MU;3527256;Lourdes (SP);79800;2700;63000;2800;72000;3600;70000;2250;78000;4200
MU;3527306;Louveira (SP);55000;0;55000;0;55000;0;55000;0;55000;0
MU;3527405;Lucélia (SP);75000;0;75000;2800;68000;1800;68000;1800;70000;1200
MU;3527504;Lucianópolis (SP);75000;3000;75000;3000;72000;2900;75000;3559;76000;2945
MU;3527603;Luís Antônio (SP);72000;2400;85000;3000;85000;4200;85000;3900;85000;3900
MU;3527702;Luiziânia (SP);75790;0;68330;0;68330;3000;70000;3000;70000;3000
MU;3527801;Lupércio (SP);0;2400;0;2400;0;2700;0;2160;0;2320
MU;3527900;Lutécia (SP);61000;2500;81000;2880;80467;2700;70489;2693;70000;2693
MU;3528007;Macatuba (SP);90000;0;90000;3301;86000;3900;86000;3900;84000;3900
MU;3528106;Macaubal (SP);70000;3000;70000;1800;70000;1800;80000;2100;80000;3000
MU;3528205;Macedônia (SP);70000;2517;80000;2520;80000;2521;77538;1800;80000;2400
MU;3528304;Magda (SP);76000;2000;75000;2800;75000;2700;75000;2200;65000;3600
MU;3528403;Mairinque (SP);0;3000;0;3000;0;3000;0;3000;0;3000
MU;3528502;Mairiporã (SP);0;0;0;0;0;0;0;0;0;0
MU;3528601;Manduri (SP);94000;3457;94000;3407;94000;3960;85540;3503;85540;3432
MU;3528700;Marabá Paulista (SP);71820;0;70000;0;70000;2000;72273;2400;72273;2000
MU;3528809;Maracaí (SP);75000;3204;87000;3000;90000;3305;90000;3320;90000;3324
MU;3528858;Marapoama (SP);85653;0;90000;0;90000;0;90000;0;90000;3500
MU;3528908;Mariápolis (SP);70000;0;70000;0;70000;3600;70000;2000;70000;1900
MU;3529005;Marília (SP);35000;0;80000;0;80000;3000;77500;2700;64167;2700
MU;3529104;Marinópolis (SP);90000;0;90000;0;80000;0;80000;0;80000;0
MU;3529203;Martinópolis (SP);84000;3000;84000;3057;87361;3129;87361;3129;85494;3041
MU;3529302;Matão (SP);80000;2400;80000;2400;95238;3000;80000;3000;72727;2700
MU;3529401;Mauá (SP);0;0;0;0;0;0;0;0;0;0
MU;3529500;Mendonça (SP);85000;2400;85000;3600;90000;3600;80000;1800;80000;4200
MU;3529609;Meridiano (SP);75000;2100;74525;2277;75000;2280;62000;1800;70000;2280
MU;3529658;Mesópolis (SP);65000;2100;72000;3000;72000;3637;71982;1800;72000;2400
MU;3529708;Miguelópolis (SP);90000;3176;90036;3476;90036;3476;90000;3179;90000;2988
MU;3529807;Mineiros do Tietê (SP);83000;3179;80000;3248;76000;3837;80000;2757;75000;4237
MU;3529906;Miracatu (SP);0;0;0;0;0;0;0;0;0;0
MU;3530003;Mira Estrela (SP);80000;4200;80000;4000;80000;4000;80000;1800;80000;3960
MU;3530102;Mirandópolis (SP);78000;1792;70000;0;73683;2086;74333;1800;76778;1800
MU;3530201;Mirante do Paranapanema (SP);76999;3000;65862;3000;65862;3000;68912;3000;75000;3000
MU;3530300;Mirassol (SP);85000;3600;85000;3600;85000;3000;85000;2000;85000;1900
MU;3530409;Mirassolândia (SP);80000;0;90000;0;70000;3300;75000;2100;70000;3000
MU;3530508;Mococa (SP);92500;0;92500;0;92500;0;80000;3000;92500;3000
MU;3530607;Mogi das Cruzes (SP);0;0;0;0;0;0;0;0;0;0
MU;3530706;Mogi Guaçu (SP);70000;2400;80000;2400;70000;2400;50000;2914;70000;3600
MU;3530805;Mogi Mirim (SP);85000;4200;85000;3600;83500;3300;50000;3300;70000;3600
MU;3530904;Mombuca (SP);65000;3350;65000;3350;67000;3350;67000;3167;65667;3333
MU;3531001;Monções (SP);81000;0;90000;3300;71810;3200;71810;3200;73000;2900
MU;3531100;Mongaguá (SP);0;0;0;0;0;0;0;0;0;0
MU;3531209;Monte Alegre do Sul (SP);55000;2417;60000;0;60000;0;60000;0;60000;0
MU;3531308;Monte Alto (SP);70000;2400;80000;2400;90000;3100;90000;3500;87000;3200
MU;3531407;Monte Aprazível (SP);70000;2000;80000;2000;70000;3000;80000;2197;80000;3000
MU;3531506;Monte Azul Paulista (SP);80000;3000;85000;3600;75000;3600;73000;2700;70000;3600
MU;3531605;Monte Castelo (SP);75257;2240;75000;2000;70000;0;70000;0;70000;2700
MU;3531704;Monteiro Lobato (SP);60000;0;0;0;0;0;0;0;0;0
MU;3531803;Monte Mor (SP);114286;4000;100000;4000;97670;3600;97670;3600;104762;12000
MU;3531902;Morro Agudo (SP);82000;3246;82000;3606;82000;3603;77000;3609;77000;3484
MU;3532009;Morungaba (SP);60000;0;60000;0;60000;3000;60000;3000;60000;3000
MU;3532058;Motuca (SP);80000;3000;85000;3600;85000;3382;83333;2250;83000;2750
MU;3532108;Murutinga do Sul (SP);70000;0;70000;0;70000;0;90000;1920;73333;1920
MU;3532157;Nantes (SP);90460;2700;80890;2900;65800;3470;65800;3470;80017;3131
MU;3532207;Narandiba (SP);80000;0;70000;0;89999;0;89999;0;83332;3790
MU;3532306;Natividade da Serra (SP);0;0;0;0;0;0;0;0;0;0
MU;3532405;Nazaré Paulista (SP);95000;0;95000;0;95000;0;85000;0;85000;0
MU;3532504;Neves Paulista (SP);80000;0;80000;2800;80000;3000;80000;2100;80000;3000
MU;3532603;Nhandeara (SP);75000;2700;90000;3000;80000;2700;80000;3300;80000;3300
MU;3532702;Nipoã (SP);80000;3000;80000;3000;80000;3000;70000;2400;70000;3420
MU;3532801;Nova Aliança (SP);90000;2500;90000;4200;90341;0;80000;0;80000;0
MU;3532827;Nova Campina (SP);0;3400;0;3400;0;3400;0;3400;75000;3400
MU;3532843;Nova Canaã Paulista (SP);90000;0;90000;0;90000;0;85000;0;85000;0
MU;3532868;Nova Castilho (SP);61000;1800;61000;1800;61000;2200;75000;2400;65000;2900
MU;3532900;Nova Europa (SP);85000;2700;72250;2700;68000;2700;81667;2700;89014;1800
MU;3533007;Nova Granada (SP);72000;4800;70000;2700;70000;3000;80000;2200;75000;3000
MU;3533106;Nova Guataporanga (SP);75000;0;73000;0;70000;0;65000;0;65000;0
MU;3533205;Nova Independência (SP);70000;0;70000;0;70000;0;68000;0;69333;0
MU;3533254;Novais (SP);70000;0;75000;2700;75000;2700;75000;2700;80000;2700
MU;3533304;Nova Luzitânia (SP);67206;2871;59071;0;67094;0;68000;2101;72000;2847
MU;3533403;Nova Odessa (SP);67778;0;67778;0;71111;0;70000;3600;0;2000
MU;3533502;Novo Horizonte (SP);90000;0;90000;0;74988;0;70000;0;84000;0
MU;3533601;Nuporanga (SP);80000;3000;80000;3600;80000;3600;80000;3600;80000;3401
MU;3533700;Ocauçu (SP);100000;3600;100000;3679;100000;3600;75000;3200;100000;3200
MU;3533809;Óleo (SP);90000;2674;90000;2674;85000;2948;85000;3001;85000;3678
MU;3533908;Olímpia (SP);75000;0;80000;0;75000;0;75000;0;75000;3480
MU;3534005;Onda Verde (SP);82892;3000;83000;3000;70550;3000;75000;2788;75000;3167
MU;3534104;Oriente (SP);80000;0;80000;0;80000;0;80000;0;80000;0
MU;3534203;Orindiúva (SP);75000;3300;60000;3300;61233;3300;70000;2100;77000;3000
MU;3534302;Orlândia (SP);80000;3600;80000;3600;80000;3600;72000;2700;72000;2700
MU;3534401;Osasco (SP);0;0;0;0;0;0;0;0;0;0
MU;3534500;Oscar Bressane (SP);110000;0;87000;4000;65000;4000;65000;4000;72333;4000
MU;3534609;Osvaldo Cruz (SP);70000;2850;70000;3300;70000;2400;70000;1850;70000;1900
MU;3534708;Ourinhos (SP);81000;2400;80000;3300;67000;3100;80000;1800;79138;2657
MU;3534757;Ouroeste (SP);75000;3600;76960;3600;75000;3600;75000;1800;75000;3600
MU;3534807;Ouro Verde (SP);80000;0;70000;0;69000;0;70000;0;70000;3000
MU;3534906;Pacaembu (SP);70000;3000;70000;3000;70000;3600;70000;1850;70000;2200
MU;3535002;Palestina (SP);90000;1800;106061;2659;63618;3014;75000;2642;80000;3033
MU;3535101;Palmares Paulista (SP);75000;2700;85000;2700;85000;0;64000;0;76667;3600
MU;3535200;Palmeira d'Oeste (SP);70000;0;70000;0;70000;0;80000;0;80000;0
MU;3535309;Palmital (SP);75000;3000;75000;3400;80000;3300;80000;3309;80000;3315
MU;3535408;Panorama (SP);75000;0;70000;0;70000;0;70000;0;70000;0
MU;3535507;Paraguaçu Paulista (SP);73449;2500;72451;3300;76421;3600;75000;3133;72000;3100
MU;3535606;Paraibuna (SP);40000;0;0;0;0;0;0;0;0;0
MU;3535705;Paraíso (SP);80500;2400;80500;2400;80500;2820;80500;2400;80500;2400
MU;3535804;Paranapanema (SP);88500;3750;88500;4162;70000;3912;80000;3600;77500;3724
MU;3535903;Paranapuã (SP);85000;3000;90000;3296;90000;3000;90000;900;90000;3000
MU;3536000;Parapuã (SP);75000;3000;90000;2700;85000;3000;72000;2100;80000;3000
MU;3536109;Pardinho (SP);70000;3000;70000;3000;70000;3000;61333;4200;61333;4200
MU;3536208;Pariquera-Açu (SP);50000;0;50000;0;50000;0;50000;0;50000;0
MU;3536257;Parisi (SP);80000;0;80000;0;80000;0;80000;3150;70000;0
MU;3536307;Patrocínio Paulista (SP);80000;3000;80000;3000;80000;3000;80000;3000;80000;3000
MU;3536406;Paulicéia (SP);75000;0;69106;1500;65000;0;65000;0;62000;0
MU;3536505;Paulínia (SP);82857;0;91429;0;91429;0;91429;0;0;0
MU;3536570;Paulistânia (SP);62500;0;62500;0;70000;0;70000;0;70000;3000
MU;3536604;Paulo de Faria (SP);80000;2509;83784;2509;90000;2509;78000;2397;85000;2397
MU;3536703;Pederneiras (SP);80000;3600;89000;3600;85000;3600;85000;3600;90000;4163
MU;3536802;Pedra Bela (SP);80000;0;80000;3000;90000;3000;85000;3000;85000;3000
MU;3536901;Pedranópolis (SP);75000;4000;75000;4000;70000;4000;75000;4000;80000;2100
MU;3537008;Pedregulho (SP);80000;3000;80000;3000;80000;3000;75000;2960;80000;2987
MU;3537107;Pedreira (SP);0;0;0;0;0;0;0;0;0;0
MU;3537156;Pedrinhas Paulista (SP);75000;3021;85000;3303;90000;3004;85000;3007;100000;3007
MU;3537206;Pedro de Toledo (SP);0;0;0;0;0;0;0;0;0;0
MU;3537305;Penápolis (SP);70780;3000;66280;3000;66280;3000;65000;1200;70000;3000
MU;3537404;Pereira Barreto (SP);78000;3704;70000;3828;60000;3828;70000;3496;70017;3593
MU;3537503;Pereiras (SP);82000;0;82000;0;0;0;72400;0;82000;0
MU;3537602;Peruíbe (SP);0;0;0;0;0;0;0;0;0;0
MU;3537701;Piacatu (SP);80000;2700;80000;3000;70000;1439;70000;2100;70000;2400
MU;3537800;Piedade (SP);0;0;0;2000;0;2000;0;2000;0;2000
MU;3537909;Pilar do Sul (SP);0;3000;0;3720;0;3720;0;3720;0;3720
MU;3538006;Pindamonhangaba (SP);0;1200;0;1200;0;3419;0;2200;0;3600
MU;3538105;Pindorama (SP);90000;2700;85000;0;85000;2714;75000;2700;80000;2700
MU;3538204;Pinhalzinho (SP);0;0;0;0;70000;0;100000;0;100000;2400
MU;3538303;Piquerobi (SP);50000;0;50000;2699;50000;2700;50000;2700;50000;2700
MU;3538501;Piquete (SP);0;0;0;0;0;0;0;0;0;0
MU;3538600;Piracaia (SP);50000;0;50000;0;50000;0;50000;0;50000;0
MU;3538709;Piracicaba (SP);65000;2400;65000;2400;67000;2400;65000;2500;65000;2400
MU;3538808;Piraju (SP);75000;3500;75000;3500;80000;3900;80000;3158;80000;3358
MU;3538907;Pirajuí (SP);75000;4500;75000;3600;90000;3300;90000;3300;80000;3300
MU;3539004;Pirangi (SP);80000;3000;82000;3600;70000;3600;70000;2100;80000;3000
MU;3539103;Pirapora do Bom Jesus (SP);0;0;0;0;0;0;0;0;0;0
MU;3539202;Pirapozinho (SP);80000;2700;77778;2747;80000;3598;80000;3598;80000;2721
MU;3539301;Pirassununga (SP);85000;2700;85000;3300;80000;3000;90000;3130;90000;3000
MU;3539400;Piratininga (SP);66667;0;85000;2700;75000;2700;75000;2700;70000;2822
MU;3539509;Pitangueiras (SP);85000;3000;85000;3385;85000;3385;85000;3000;85000;3500
MU;3539608;Planalto (SP);76862;2700;80000;2700;76900;2700;70000;2700;60000;3000
MU;3539707;Platina (SP);66000;2975;85000;3000;73000;3180;73000;2604;80000;2868
MU;3539806;Poá (SP);0;0;0;0;0;0;0;0;0;0
MU;3539905;Poloni (SP);70000;2400;70000;2800;70000;2400;70000;1800;75000;2700
MU;3540002;Pompéia (SP);90000;0;80000;3000;80000;3000;80000;2940;80000;3000
MU;3540101;Pongaí (SP);100000;3000;100000;3000;80000;2389;70000;2400;86947;3660
MU;3540200;Pontal (SP);80000;2100;80000;2000;85000;2000;85000;2000;85000;2000
MU;3540259;Pontalinda (SP);100000;0;100000;1500;100000;2700;100000;2700;100000;2700
MU;3540309;Pontes Gestal (SP);78000;3279;78000;3311;72000;3185;72000;7670;72000;3360
MU;3540408;Populina (SP);80000;3000;80000;2400;80000;2640;80000;1200;80000;2400
MU;3540507;Porangaba (SP);90000;2475;90000;0;90000;2475;85532;2475;88511;2475
MU;3540606;Porto Feliz (SP);80000;2200;80000;2100;79000;2100;80000;2100;79000;2500
MU;3540705;Porto Ferreira (SP);65000;3600;60000;3600;90000;3000;90000;2400;100000;2400
MU;3540754;Potim (SP);0;0;0;0;0;0;0;3000;0;3000
MU;3540804;Potirendaba (SP);80000;3359;100000;3600;90000;3000;83333;2200;80000;3000
MU;3540853;Pracinha (SP);70000;0;70000;3600;70000;3600;70000;1850;70000;1882
MU;3540903;Pradópolis (SP);85000;0;85000;3000;85000;3000;85000;3000;85000;3000
MU;3541000;Praia Grande (SP);0;0;0;0;0;0;0;0;0;0
MU;3541059;Pratânia (SP);70000;0;85000;4438;84639;4438;85119;4155;85119;4155
MU;3541109;Presidente Alves (SP);80000;0;76246;0;80000;0;80000;0;72000;0
MU;3541208;Presidente Bernardes (SP);75000;2400;75000;2702;75000;3300;75000;3300;75000;2701
MU;3541307;Presidente Epitácio (SP);71865;2400;70000;2400;69630;2400;83554;0;70498;0
MU;3541406;Presidente Prudente (SP);71698;0;79800;0;79800;0;79800;0;80000;0
MU;3541505;Presidente Venceslau (SP);57345;0;60000;2505;70000;0;72907;2400;70000;0
MU;3541604;Promissão (SP);83360;3000;67550;3000;66090;3000;65000;2400;65000;2400
MU;3541653;Quadra (SP);90000;2921;90000;0;90000;2921;84066;2809;90000;2809
MU;3541703;Quatá (SP);83104;2800;74185;2830;62498;3000;62498;3000;73356;3280
MU;3541802;Queiroz (SP);78000;0;75000;0;79000;0;75000;0;75000;3000
MU;3541901;Queluz (SP);61000;0;61000;0;61000;0;61000;0;61000;0
MU;3542008;Quintana (SP);79000;0;87000;3502;65800;0;75000;3000;70000;3000
MU;3542107;Rafard (SP);70000;0;70000;0;70000;0;70000;0;70000;0
MU;3542206;Rancharia (SP);77268;2756;69272;3081;58044;3543;58044;3543;73382;2977
MU;3542305;Redenção da Serra (SP);60000;0;67500;0;0;0;70000;0;70000;0
MU;3542404;Regente Feijó (SP);80000;2280;90000;2100;80800;2700;80800;2700;83600;2360
MU;3542503;Reginópolis (SP);83333;3000;80000;3006;80000;3600;80000;3600;75000;3648
MU;3542602;Registro (SP);35000;0;35000;0;35000;0;90000;0;90000;0
MU;3542701;Restinga (SP);80000;3000;80000;2400;80000;2400;80000;2700;80000;2500
MU;3542800;Ribeira (SP);75000;0;75000;0;75000;0;75000;0;75000;0
MU;3542909;Ribeirão Bonito (SP);68000;0;73500;3600;72000;0;72000;0;78000;0
MU;3543006;Ribeirão Branco (SP);0;4000;0;4000;0;4000;0;4000;0;4000
MU;3543105;Ribeirão Corrente (SP);75000;3300;75000;3300;75000;2700;73333;3000;80000;3200
MU;3543204;Ribeirão do Sul (SP);85000;3000;75000;3600;80000;3225;85000;2445;78900;3248
MU;3543238;Ribeirão dos Índios (SP);70000;0;70000;0;49000;3000;73615;3384;70000;3125
MU;3543253;Ribeirão Grande (SP);0;4500;0;4500;0;4500;60000;4500;60000;4500
MU;3543303;Ribeirão Pires (SP);0;0;0;0;0;0;0;0;0;0
MU;3543402;Ribeirão Preto (SP);78081;2100;75000;2100;75000;2100;75000;2100;84997;2100
MU;3543501;Riversul (SP);70000;4000;70000;3000;70000;4000;70000;3100;70000;3700
MU;3543600;Rifaina (SP);80000;0;80000;2100;75000;3300;75000;2400;90000;2400
MU;3543709;Rincão (SP);75000;2700;75000;3000;75000;3000;75000;2800;75000;3200
MU;3543808;Rinópolis (SP);0;3000;70000;0;47500;3000;72500;3000;55000;3000
MU;3543907;Rio Claro (SP);75000;2100;75000;2100;72000;2500;75000;2500;75000;2500
MU;3544004;Rio das Pedras (SP);65000;2000;65055;2000;67000;2000;66000;2400;66000;2000
MU;3544103;Rio Grande da Serra (SP);0;0;0;0;0;0;0;0;0;0
MU;3544202;Riolândia (SP);90000;3333;90000;3299;92000;3500;92000;2914;92000;3000
MU;3544251;Rosana (SP);61513;2103;61513;2177;70314;2493;73989;2394;64447;3322
MU;3544301;Roseira (SP);0;0;0;0;0;2400;0;3000;0;3000
MU;3544400;Rubiácea (SP);79639;2579;90000;2579;82000;3000;77000;2102;85000;3619
MU;3544509;Rubinéia (SP);80000;0;80000;0;80000;0;80000;1700;80000;1700
MU;3544608;Sabino (SP);80000;3455;74000;2918;80000;3189;64004;2400;77111;2800
MU;3544707;Sagres (SP);80000;2586;85000;0;70000;0;70000;0;70000;2400
MU;3544806;Sales (SP);85000;3600;85000;3600;85000;3600;80000;3000;80000;3600
MU;3544905;Sales Oliveira (SP);90000;3300;90000;3600;90000;3600;90000;2700;90000;2700
MU;3545001;Salesópolis (SP);0;0;0;0;0;0;0;0;0;0
MU;3545100;Salmourão (SP);87000;2700;88000;3000;70000;2700;90000;1800;75000;2200
MU;3545159;Saltinho (SP);65000;3500;65000;3500;67000;3500;65000;3500;65667;3500
MU;3545209;Salto (SP);80000;2200;79000;2100;79000;2100;79000;2100;79000;2600
MU;3545308;Salto de Pirapora (SP);0;3600;0;3600;0;3600;0;6000;0;3600
MU;3545407;Salto Grande (SP);70000;3000;90000;2400;84000;2542;80000;1828;79000;1819
MU;3545506;Sandovalina (SP);79628;2100;79628;2628;80000;3300;80119;3300;79605;2276
MU;3545605;Santa Adélia (SP);90000;0;90000;0;80000;3000;75000;3000;75000;3600
MU;3545704;Santa Albertina (SP);110000;0;78291;3600;84000;0;70000;0;85000;0
MU;3545803;Santa Bárbara d'Oeste (SP);64000;2767;64000;2767;65000;3000;80000;3600;80000;4000
MU;3546009;Santa Branca (SP);0;0;50000;0;50000;0;50000;0;50000;0
MU;3546108;Santa Clara d'Oeste (SP);80000;2680;70000;0;70000;1200;0;1700;0;1700
MU;3546207;Santa Cruz da Conceição (SP);80000;2700;80000;3000;80000;3600;75000;4200;75000;3900
MU;3546256;Santa Cruz da Esperança (SP);78000;1800;80000;1800;80000;1800;80000;1800;80000;1800
MU;3546306;Santa Cruz das Palmeiras (SP);85000;3600;80000;3120;80000;2919;82000;3002;82000;3300
MU;3546405;Santa Cruz do Rio Pardo (SP);65000;3300;68000;3300;70000;3600;70000;2149;67667;3500
MU;3546504;Santa Ernestina (SP);90000;2100;90000;3420;89000;4000;90000;4000;87000;3500
MU;3546603;Santa Fé do Sul (SP);90000;0;90000;0;90000;0;85543;0;90000;0
MU;3546702;Santa Gertrudes (SP);65000;3000;65000;3000;70000;2600;73000;2602;73000;2600
MU;3546801;Santa Isabel (SP);0;0;0;0;0;0;0;0;0;0
MU;3546900;Santa Lúcia (SP);75000;2700;75000;2700;75000;3000;75000;2700;75000;2700
MU;3547007;Santa Maria da Serra (SP);65000;0;65000;0;67000;0;65000;0;65667;0
MU;3547106;Santa Mercedes (SP);75000;0;70000;0;70000;0;70000;0;68000;0
MU;3547205;Santana da Ponte Pensa (SP);90000;3899;90000;3900;70000;3700;80000;3901;80000;3900
MU;3547304;Santana de Parnaíba (SP);0;0;0;0;0;0;0;0;0;0
MU;3547403;Santa Rita d'Oeste (SP);80000;1800;80000;0;70000;0;80000;0;80000;0
MU;3547502;Santa Rita do Passa Quatro (SP);80000;3000;80000;4200;80000;3000;70000;2700;70000;2700
MU;3547601;Santa Rosa de Viterbo (SP);70000;2100;80000;2100;80000;3000;80000;3000;80000;4800
MU;3547650;Santa Salete (SP);100000;0;100000;0;100000;0;100000;0;100000;0
MU;3547700;Santo Anastácio (SP);70349;3000;68522;3000;70000;3019;70116;3600;70155;3000
MU;3547809;Santo André (SP);0;0;0;0;0;0;0;0;0;0
MU;3547908;Santo Antônio da Alegria (SP);80000;3600;80000;4200;80000;4200;80000;4200;80000;4500
MU;3548005;Santo Antônio de Posse (SP);75000;0;85000;0;58000;3000;50000;3000;70000;3300
MU;3548054;Santo Antônio do Aracanguá (SP);64663;2760;65000;3300;70203;2400;70000;2050;72000;3100
MU;3548104;Santo Antônio do Jardim (SP);0;0;0;0;0;0;0;0;0;0
MU;3548203;Santo Antônio do Pinhal (SP);0;0;0;0;0;0;0;0;0;0
MU;3548302;Santo Expedito (SP);70008;0;70008;0;70008;0;72982;0;70175;0
MU;3548401;Santópolis do Aguapeí (SP);64790;2101;75890;3000;75890;0;75000;0;75000;0
